TMAX,TMIN,TAVG
64,47,55
65,47,56
66,48,57
65,45,56
62,48,54
60,45,53
59,47,50
55,42,47
59,39,48
65,43,54
69,46,59
77,56,65
74,46,62
62,41,51
72,47,60
76,53,64
63,44,54
68,48,57
72,50,61
69,52,60
70,50,60
73,52,62
65,49,56
71,44,58
74,54,62
79,55,67
81,59,70
80,60,71
81,60,70
64,52,58
68,47,56
61,47,53
65,43,54
70,47,59
70,50,61
69,51,60
67,48,57
66,47,56
72,48,60
72,52,62
74,54,64
65,48,57
67,46,56
70,51,60
63,49,55
61,44,52
67,43,55
72,49,60
80,54,66
73,56,62
73,55,61
72,53,61
66,47,57
70,50,59
74,50,60
69,46,58
73,52,62
68,53,60
70,49,60
59,47,51
57,45,49
52,42,46
59,39,49
65,45,54
52,43,48
59,45,51
49,41,45
52,38,44
46,37,41
48,39,43
55,40,47
57,43,48
63,43,52
56,45,49
51,41,45
53,42,47
58,39,49
59,40,49
45,31,38
33,27,30
29,25,27
35,25,29
47,26,34
46,27,36
48,31,38
45,31,36
47,32,38
51,33,42
48,38,45
40,26,31
37,22,28
40,23,31
44,25,35
46,33,39
48,31,39
47,29,38
46,33,40
46,38,42
43,31,36
36,31,33
37,30,33
36,28,33
44,34,38
47,35,42
47,32,39
60,34,48
49,31,43
39,27,32
37,23,30
42,15,32
27,11,18
38,21,28
48,28,37
45,28,36
52,33,41
51,38,43
56,42,47
61,38,49
45,31,37
47,31,40
58,41,48
48,38,44
50,34,41
44,30,35
46,35,39
46,31,37
44,30,38
42,30,38
43,29,36
50,36,43
45,34,39
40,30,35
35,28,31
43,29,34
49,31,38
45,33,39
39,26,33
34,18,26
25,17,20
18,14,17
18,13,15
31,10,20
26,11,18
28,15,23
41,27,34
39,34,37
40,34,37
37,31,35
36,31,34
41,29,33
40,26,31
45,25,33
42,27,33
37,25,31
36,27,31
35,22,29
32,19,25
30,14,22
35,16,26
33,23,28
31,22,26
35,23,28
39,33,36
37,29,34
32,27,31
33,20,29
32,17,23
28,16,22
22,12,19
33,18,25
38,20,30
43,27,32
38,24,32
39,31,35
38,28,33
33,25,27
44,33,38
36,22,27
28,22,25
36,24,32
35,30,34
31,17,24
26,11,19
27,18,23
31,21,26
28,17,22
21,13,16
20,9,14
21,8,16
32,18,23
31,14,19
31,21,26
37,28,33
40,30,33
35,27,30
35,26,30
37,33,35
40,31,35
43,28,32
38,26,32
37,25,29
39,25,31
36,20,29
40,21,31
44,36,40
42,16,32
29,12,20
27,11,19
31,11,23
39,29,35
36,33,35
38,27,34
37,24,29
43,19,30
40,24,30
39,24,33
42,23,31
41,24,31
32,25,26
34,23,29
31,22,26
35,17,23
35,13,22
35,13,22
38,17,27
46,24,33
42,28,33
32,25,27
33,18,25
40,20,29
42,29,35
49,29,38
51,26,38
35,20,27
36,16,26
41,26,34
42,30,35
39,24,30
46,27,35
40,27,33
38,21,28
38,16,26
39,16,26
38,22,31
37,19,30
40,15,27
28,18,22
20,9,14
27,10,19
39,25,33
46,25,35
49,26,37
51,28,37
51,30,38
52,32,40
49,27,37
38,24,30
34,20,26
39,19,27
34,18,27
40,26,32
42,28,35
42,28,34
36,23,29
36,21,27
40,16,25
36,14,24
30,18,24
34,15,26
38,24,30
46,26,36
52,33,41
55,32,43
62,36,48
55,37,46
45,29,37
40,26,32
50,22,36
52,31,42
46,34,39
49,26,37
58,31,44
49,38,42
54,35,43
56,37,46
47,35,41
42,35,39
48,33,39
48,31,40
45,32,39
50,30,40
45,33,39
55,30,43
57,41,49
43,30,38
51,30,41
55,29,40
41,27,33
50,28,40
57,37,46
43,31,36
53,32,43
54,38,46
60,42,51
59,45,51
55,44,48
49,38,43
50,36,42
48,36,40
55,34,44
