feature1,feature2,feature3
0.701149,0.753086,0.705882
0.712644,0.753086,0.717647
0.724138,0.765432,0.729412
0.712644,0.728395,0.717647
0.678161,0.765432,0.694118
0.655172,0.728395,0.682353
0.643678,0.753086,0.647059
0.597701,0.691358,0.611765
0.643678,0.654321,0.623529
0.712644,0.703704,0.694118
0.758621,0.740741,0.752941
0.850575,0.864198,0.823529
0.816092,0.740741,0.788235
0.678161,0.679012,0.658824
0.793103,0.753086,0.764706
0.839080,0.827160,0.811765
0.689655,0.716049,0.694118
0.747126,0.765432,0.729412
0.793103,0.790123,0.776471
0.758621,0.814815,0.764706
0.770115,0.790123,0.764706
0.804598,0.814815,0.788235
0.712644,0.777778,0.717647
0.781609,0.716049,0.741176
0.816092,0.839506,0.788235
0.873563,0.851852,0.847059
0.896552,0.901235,0.882353
0.885057,0.913580,0.894118
0.896552,0.913580,0.882353
0.701149,0.814815,0.741176
0.747126,0.753086,0.717647
0.666667,0.753086,0.682353
0.712644,0.703704,0.694118
0.770115,0.753086,0.752941
0.770115,0.790123,0.776471
0.758621,0.802469,0.764706
0.735632,0.765432,0.729412
0.724138,0.753086,0.717647
0.793103,0.765432,0.764706
0.793103,0.814815,0.788235
0.816092,0.839506,0.811765
0.712644,0.765432,0.729412
0.735632,0.740741,0.717647
0.770115,0.802469,0.764706
0.689655,0.777778,0.705882
0.666667,0.716049,0.670588
0.735632,0.703704,0.705882
0.793103,0.777778,0.764706
0.885057,0.839506,0.835294
0.804598,0.864198,0.788235
0.804598,0.851852,0.776471
0.793103,0.827160,0.776471
0.724138,0.753086,0.729412
0.770115,0.790123,0.752941
0.816092,0.790123,0.764706
0.758621,0.740741,0.741176
0.804598,0.814815,0.788235
0.747126,0.827160,0.764706
0.770115,0.777778,0.764706
0.643678,0.753086,0.658824
0.620690,0.728395,0.635294
0.563218,0.691358,0.600000
0.643678,0.654321,0.635294
0.712644,0.728395,0.694118
0.563218,0.703704,0.623529
0.643678,0.728395,0.658824
0.528736,0.679012,0.588235
0.563218,0.641975,0.576471
