feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,class
0.762562,0.211371,0.721947,0.853220,0.158710,0.656037,0.792597,0.200162,0.639786,0.787210,0.260063,0.610640,0.730508,0.306029,0.547162,0.594611,0.505237,0.488236,0.817047,0.145206,0.792601,0.755015,0.210675,0.755751,0.691383,0.297881,0.650172,0.537279,0.562998,0.572289,0.719198,0.140283,0.773492,0.618487,0.294676,0.707627,0.662543,0.334950,0.762107,0.580590,0.434402,0.681845,0.522798,0.508834,0.733675,0.894333,0.458293,0.190230,0.545822,0.620309,0.439259,0.530347,0.533428,0.651045,0.658354,0.347975,0.793792,0.652586,0.426910,0.570280,0.284651,0.714928,0.482684,0.771807,0.233271,0.801142,0.404383,0.658245,0.509535,0.786467,0.213685,0.644754,0.926732,0.083419,0.920393,0.820661,0.343052,0.496570,0.826614,0.498009,0.332819,0.709515,0.514031,0.333562,0.636766,0.498069,0.627684,0.434327,0.393886,0.817446,0.567474,0.590657,0.523121,0.803105,0.229249,0.532414,0.682375,0.176335,0.603064,0.680392,0.241342,0.653725,0.608705,0.323538,0.495528,0.502081,0.484933,0.407329,0.692878,0.426810,0.394294,0.687782,0.204222,0.504237,0.467993,0.573335,0.414196,0
0.737215,0.219146,0.704370,0.619712,0.396105,0.466652,0.771469,0.218029,0.632469,0.767904,0.251646,0.598201,0.746723,0.278533,0.524219,0.624745,0.505267,0.395576,0.790978,0.193338,0.666579,0.752677,0.219683,0.715356,0.710861,0.258627,0.658215,0.523614,0.612920,0.474985,0.810802,0.073718,0.668849,0.744807,0.142854,0.817483,0.690551,0.289092,0.783246,0.596392,0.387679,0.723805,0.514990,0.587609,0.540031,0.601712,0.354820,0.682702,0.555582,0.536962,0.520872,0.673335,0.122447,0.666128,0.686658,0.057563,0.919034,0.687690,0.310651,0.686497,0.266512,0.704281,0.419015,0.801036,0.186901,0.775902,0.314072,0.751665,0.498533,0.632070,0.183904,0.917023,0.775860,0.339304,0.575374,0.786662,0.335548,0.493258,0.858580,0.272771,0.677558,0.800796,0.330881,0.427489,0.693082,0.475004,0.495007,0.460370,0.450960,0.500769,0.964775,0.034808,0.911717,0.716871,0.125665,0.653649,0.692517,0.020102,0.789411,0.621193,0.173240,0.818157,0.571726,0.091970,0.845804,0.543402,0.186509,0.848445,0.450308,0.163403,0.829633,0.442684,0.110711,0.893154,0.366349,0.262039,0.786091,0
0.633737,0.535560,0.285774,0.401366,0.727919,0.183078,0.479801,0.698960,0.073174,0.667385,0.542279,0.269943,0.696207,0.535382,0.191292,0.818384,0.366760,0.303163,0.377759,0.752861,0.062412,0.500564,0.651034,0.127818,0.717742,0.427433,0.353082,0.758801,0.416925,0.404269,0.500651,0.625972,0.170773,0.473311,0.607552,0.262551,0.516072,0.617367,0.260835,0.645287,0.437214,0.573572,0.648677,0.498622,0.497853,0.683205,0.324559,0.656408,0.867790,0.301345,0.387758,0.363365,0.355975,0.616499,0.483877,0.248603,0.747002,0.750232,0.395028,0.448016,0.921362,0.126689,0.666404,0.402893,0.821622,0.330958,0.854083,0.104024,0.702852,0.599221,0.417876,0.458590,0.653050,0.560075,0.298461,0.677588,0.567033,0.297905,0.731458,0.541206,0.357497,0.773752,0.506516,0.229122,0.963133,0.233443,0.554265,0.825035,0.156333,0.529839,0.822807,0.347231,0.493282,0.539515,0.469574,0.437436,0.523970,0.481298,0.363567,0.588227,0.427144,0.490539,0.554590,0.352744,0.498645,0.724484,0.183849,0.598784,0.254842,0.491680,0.592642,0.332384,0.517506,0.467754,0.223955,0.553802,0.615671,0
0.734954,0.407867,0.326441,0.658970,0.463833,0.280324,0.735218,0.383934,0.351134,0.726654,0.437697,0.319883,0.737478,0.423056,0.299821,0.646875,0.584367,0.205109,0.720375,0.408123,0.321957,0.711843,0.423935,0.300253,0.711279,0.460198,0.265673,0.599331,0.668954,0.174703,0.634040,0.441393,0.274391,0.615328,0.475422,0.296511,0.700040,0.442839,0.373638,0.626840,0.520618,0.341097,0.602455,0.615513,0.266110,0.527181,0.372653,0.548324,0.702388,0.482042,0.389749,0.341679,0.452451,0.448376,0.674960,0.148991,0.903678,0.385679,0.782323,0.201779,0.478984,0.617271,0.332236,0.506076,0.667392,0.356053,0.503711,0.621087,0.378727,0.430125,0.492854,0.432862,0.696777,0.426582,0.548553,0.646889,0.575483,0.267691,0.676830,0.520595,0.414239,0.733318,0.479332,0.277313,0.644671,0.525536,0.415420,0.539230,0.355330,0.584664,0.490548,0.524851,0.672783,0.482601,0.506649,0.442404,0.632412,0.482953,0.237303,0.716322,0.439553,0.290723,0.719505,0.316847,0.363605,0.572946,0.395363,0.475325,0.224280,0.620630,0.462217,0.493766,0.530393,0.280593,0.399028,0.522406,0.492976,0
0.838022,0.218446,0.528787,0.895091,0.199537,0.442914,0.875677,0.183318,0.506831,0.857703,0.224603,0.531627,0.760180,0.327157,0.409655,0.632905,0.485611,0.408409,0.956004,0.145236,0.477848,0.970063,0.093664,0.688846,0.785828,0.282298,0.470474,0.635119,0.517942,0.407091,0.933755,0.077131,0.503279,0.761928,0.258803,0.498469,0.804834,0.259693,0.630061,0.733562,0.338703,0.612031,0.659877,0.434921,0.602974,0.673069,0.193899,0.835467,0.671566,0.388002,0.572486,0.338842,0.533181,0.566776,0.313368,0.621442,0.484414,0.776477,0.276989,0.681976,0.492894,0.527445,0.574455,0.989469,0.005630,0.854796,0.609924,0.346874,0.649225,0.800191,0.186122,0.737479,0.746674,0.268768,0.803881,0.841510,0.291581,0.529953,0.790524,0.371845,0.630059,0.780223,0.362847,0.432452,0.532381,0.610827,0.492411,0.517541,0.404434,0.740281,1.000000,0.139422,0.666482,0.931999,0.078927,0.583955,0.751234,0.075200,0.602429,0.731599,0.198574,0.631160,0.675346,0.319381,0.430374,0.715535,0.293819,0.467653,0.286339,0.556124,0.571120,0.451023,0.420189,0.484215,0.246215,0.801594,0.352598,0
0.779440,0.310208,0.458139,0.855958,0.276812,0.380938,0.837958,0.263447,0.451228,0.763507,0.391876,0.341441,0.808432,0.336684,0.350767,0.696970,0.513192,0.213162,0.809103,0.288811,0.460844,0.798720,0.294990,0.500601,0.729422,0.413605,0.330542,0.593593,0.671896,0.162927,0.661066,0.351758,0.446868,0.648256,0.374544,0.497117,0.675066,0.433161,0.470011,0.619098,0.494865,0.437610,0.577110,0.632149,0.284361,0.634604,0.251039,0.767780,0.698896,0.413218,0.458974,0.435639,0.311985,0.695977,0.594776,0.323600,0.772936,0.423112,0.711946,0.350807,0.442157,0.681086,0.279172,0.629684,0.563734,0.314287,0.501600,0.599783,0.371031,0.499212,0.552116,0.136878,0.821946,0.294754,0.648907,0.785676,0.414403,0.370197,0.795873,0.373199,0.592557,0.824310,0.360609,0.344740,0.793522,0.341259,0.552012,0.715834,0.137844,0.828206,0.683787,0.315175,0.822092,0.545654,0.401121,0.531908,0.645130,0.310376,0.466330,0.700351,0.358143,0.429844,0.747607,0.225948,0.452158,0.677938,0.200711,0.664009,0.352227,0.432701,0.594932,0.484017,0.443404,0.398272,0.458689,0.554018,0.403803,0
0.724167,0.251249,0.701583,0.773262,0.260695,0.527839,0.736746,0.260228,0.583138,0.721452,0.300678,0.585471,0.698892,0.301557,0.570977,0.577904,0.459995,0.547585,0.774882,0.220126,0.695356,0.741294,0.239496,0.732688,0.692132,0.284481,0.662842,0.539134,0.545495,0.577840,0.649526,0.270643,0.585945,0.633321,0.304358,0.648846,0.690338,0.319854,0.745368,0.608839,0.425094,0.640974,0.533548,0.528923,0.645574,0.646888,0.391474,0.621017,0.663814,0.492202,0.475798,0.494293,0.656280,0.440880,0.681802,0.281473,0.823609,0.607949,0.415615,0.653665,0.413486,0.561549,0.554415,0.643454,0.422199,0.528638,0.374418,0.696174,0.461485,0.630463,0.336912,0.512089,0.756448,0.242570,0.774700,0.751585,0.360415,0.508186,0.733259,0.475441,0.502573,0.674867,0.458142,0.435920,0.581900,0.501500,0.635102,0.466665,0.368917,0.736491,0.556804,0.554034,0.591472,0.687086,0.425537,0.401699,0.653685,0.343285,0.409651,0.621025,0.404896,0.481597,0.535185,0.481192,0.370516,0.434616,0.563342,0.367719,0.484480,0.592879,0.436932,0.572156,0.407507,0.408689,0.404438,0.598784,0.466009,0
0.275310,0.814213,0.374157,0.365269,0.638064,0.426913,0.310405,0.718684,0.317097,0.329742,0.780649,0.302949,0.383948,0.791884,0.270523,0.457820,0.765224,0.278922,0.352376,0.608925,0.623080,0.275006,0.728830,0.411788,0.309079,0.813368,0.382510,0.366018,0.836347,0.408038,0.147108,0.745755,0.535996,0.146529,0.819263,0.428114,0.178837,0.859769,0.419815,0.153664,0.908150,0.357631,0.193822,0.914506,0.378362,0.442472,0.550699,0.576832,0.649260,0.504347,0.481532,0.855929,0.175690,0.844914,0.617224,0.465330,0.642745,0.233036,0.648852,0.577102,0.460161,0.543294,0.575842,0.360820,0.705287,0.573295,0.449552,0.656761,0.491154,0.232841,0.635908,0.589383,0.362863,0.823184,0.277000,0.327021,0.842819,0.255517,0.369052,0.882552,0.239688,0.422359,0.845632,0.202841,0.554044,0.685179,0.296010,0.460594,0.484849,0.603573,0.256442,0.660743,0.858275,0.373369,0.417351,0.737605,0.200590,0.897419,0.335558,0.174403,0.942026,0.296936,0.106716,0.980375,0.233508,0.100479,0.967377,0.169270,0.375204,0.471723,0.675910,0.124490,0.951577,0.317135,0.038915,0.966225,0.336170,0
0.720872,0.433952,0.305291,0.739779,0.385058,0.315752,0.744752,0.333547,0.404938,0.795187,0.283939,0.517008,0.795869,0.272626,0.441187,0.801378,0.234207,0.501154,0.743520,0.454146,0.135652,0.732807,0.416477,0.273814,0.749924,0.404095,0.311608,0.719206,0.469663,0.329030,0.651537,0.573278,0.010975,0.601422,0.557109,0.166706,0.688899,0.492050,0.302019,0.642549,0.530286,0.322154,0.661588,0.497105,0.427319,0.669489,0.179553,0.896041,0.900504,0.195817,0.590131,0.281194,0.688856,0.404726,0.401256,0.502661,0.543683,0.492424,0.598602,0.416791,0.420102,0.588682,0.422140,0.696755,0.386050,0.606692,0.699325,0.306923,0.560084,0.757317,0.242326,0.496464,0.748834,0.218456,0.886367,0.822558,0.245704,0.618553,0.829344,0.219782,0.852577,0.890819,0.114115,0.646001,0.765442,0.298887,0.727972,0.610050,0.204760,0.651228,0.618715,0.596434,0.407193,0.662706,0.430047,0.452882,0.719399,0.258542,0.426602,0.737004,0.271542,0.518413,0.702363,0.322753,0.401582,0.653208,0.363097,0.419888,0.379506,0.626733,0.479115,0.538007,0.433905,0.387992,0.308530,0.743389,0.338256,0
0.730808,0.282846,0.559098,0.660234,0.383164,0.403289,0.786373,0.231966,0.554383,0.833443,0.203519,0.593563,0.773448,0.272099,0.463941,0.690358,0.414983,0.409119,0.781844,0.219254,0.568588,0.718280,0.291141,0.559653,0.730267,0.287839,0.535729,0.579985,0.578165,0.407922,0.793582,0.106723,0.636273,0.682989,0.231732,0.699740,0.666653,0.353957,0.629616,0.637168,0.369370,0.690932,0.566542,0.554810,0.518323,0.575026,0.407276,0.514185,0.634533,0.476694,0.474436,0.956084,0.000000,0.498559,0.649548,0.180341,0.494449,0.935656,0.086541,0.770388,0.333065,0.662208,0.322078,0.931937,0.025180,0.918042,0.438979,0.558467,0.621613,0.823461,0.081722,0.887801,0.755115,0.424125,0.399335,0.796938,0.332642,0.473099,0.819597,0.316249,0.598812,0.828321,0.284145,0.423255,0.783528,0.363205,0.513644,0.510966,0.330501,0.588684,0.960160,0.018488,0.905994,0.748906,0.000000,0.728823,0.631901,0.057662,0.777242,0.625267,0.189700,0.762622,0.542404,0.089091,0.867045,0.641154,0.067736,0.893519,0.614991,0.000000,0.784862,0.530797,0.053208,0.844336,0.425927,0.275179,0.677622,0
